68,2007-08-25,Seoul City Touring Race #2,Han Hye-jin
69,2007-09-01,DIY Special #1 Park Myeong-su's Big Star Show! 'Change' hosted by Jeong Hyeong-don,Yoo Jae-suk's act Yoo Geo-seong (an imitation of Park Myeong-su became widely popular)
70,2007-09-08,DIY Special #2 Han-Ip-man ??? The members visit several restaurants in Yeouido and taste various mea,
71,2007-09-15,Sseokso & The City - What is the meaning of fashion?,Fashion Designer Park Man-hyeon
72,2007-09-22,Chuseok Special - Yuna Kim Special ( Figure Skater),Yuna Kim
73,2007-09-29,"Please, Watch Your Mouth - Infinite Challenge Goes to Japan",
74,2007-10-06,Infinite Challenge's Autumn Field Day,
75,2007-10-13,Madness Couples - Find a Relationship between the members and their staff,Managers of Infinite Challenge Cast
76,2007-10-20,Job Interview of Infinite Challenge #2,"Kim Young-hee, Je Yeong-jae, Im Jeong-ah & Gwon seok (MBC Interviewer)"
77,2007-10-27,Jun-Hines Ward Special,Choi Jong-hoon (Jeong Jun-ha's manager)
78,2007-11-03,Infinite Challenge's Captain Planet,
79,2007-11-10,Renewable Energy Special,"Infinite Challenge Producers, Kim Hyeong-ja, Go Nae-un, Kim Doh-yang"
80,2007-11-24,Sport Dance Special #1,Dancer Park Ji-eun
81,2007-12-01,"Sport Dance Special #2, Paris Hilton Special ( Heiress & Socialite)","Dancer Park Ji-eun, Paris Hilton"
82,2007-12-08,Sport Dance Special #3,Dancer Park Ji-eun
83,2007-12-15,Calendar 2008 Special,Kim Ok-jeong (Haha's Mother)
84,2007-12-22,Infinite Challenge's 'Thank You Concert' - Preparation,Kyunghee University Music Students
85,2007-12-29,Infinite Challenge's 'Thank You Concert' Special,"Shin Bong-sun, Kim Ok-jeong (Haha's mother)"
86,2008-01-05,New Year Special #1 - At the Donghae-1 Gas Field,
87,2008-01-12,New Year Special #2 - At the Donghae-1 Gas Field,
88,2008-01-19,Wind of the Palace Cast Special,"Lee Seo-jin, Han Ji-min, Han Sang-jin, Lee Jong-su, Maeng Sang-hoon, Jang Hui-ung, Lee Hui-do, Gyeon"
89,2008-01-26,Beijing 2008 Special - Gymnastics Edition,Republic of Korea Men's Gymnastics Team
90,2008-02-02,"Where is my Manager's Home???, Haha's Mother's DdeokGook Special #1","Choi Jong-hoon (Jeong Jun-ha's Manager), Kim Ok-jeong (Haha's Mother)"
91,2008-02-09,Haha's Mother's DdeokGook Special #2,
92,2008-02-16,Haha Guerilla Concert Special,"Lee Yo-won, Han Ji-min, Lee Seo-jin, Han Sang-jin, Lee Jong-su & Ahn Hye-kyeong (Haha's Ex) Haha's l"
93,2008-02-23,Infinite Challenge Hello! India #1,
94,2008-03-01,Infinite Challenge Hello! India #2,
95,2008-03-08,Team Leader Elections Infinite News - Park Myeong-su Get's Married!,Voices of Yoon Jong-shin and Kim Ah-joong
96,2008-03-15,Beijing 2008 Special - Wrestling Edition #1,"Republic of Korea Men's Wrestling Team, Jo In-sung, voices of Lee Hyuk-jae and So Ji-sub"
97,2008-03-22,Beijing 2008 Special - Wrestling Edition #2,"Republic of Korea Men's Wrestling Team, Jo In-sung, Park Hwi-sun, Kim Hyun-chul & Lee Un-chae (Inter"
98,2008-03-29,Earth Special Forces - Planting trees in the Gobi Desert,Managers of Park Hyun-bin and Noh Hong-chul
99,2008-04-05,Realise Your Dreams Special,"Jeong Seok-gwon (Park Myeong-su's Manager), Choi Jong-hoon (Jeong Jun-ha's Manager), Kim Yu-gon"
100,2008-04-12,100th Episode Special #1 Jeong Jun-ha Eats Noodles at 100??km/Hour,Voice of Han Ji-min
101,2008-04-19,100th Episode Special #2,Former MBC Announcer/President Ohm Ki-Young
102,2008-04-26,Finding Treasures in Gyeongju Special #1,
103,2008-05-03,Finding Treasures in Gyeongju Special #2,
104,2008-05-10,Taean Special - Build a Children's Library,
105,2008-05-17,1st Infinite Challenge Self Created Children's Song Festival,
106,2008-05-24,Beijing 2008 Special - Handball Edition,
107,2008-05-31,Guinness Book of Records Special,
108,2008-06-07,Visit a family for 24 Hours Special Part 1,
109,2008-06-14,Visit a family for 24 Hours Special Part 2,
110,2008-06-21,Run Away with the Money Bag Special #1,Jun Jin
111,2008-06-28,Run Away with the Money Bag Special #2,Jun Jin
112,2008-07-05,Run Away with the Money Bag Special #3,Jun Jin
113,2008-07-12,Infinity Girls #2,Jun Jin
114,2008-07-19,Renewable Energy Special #2,Lee Min-woo & Kim Shin-young Jun Jin becomes a regular member.
115,2008-07-26,Pirate of the Taerabbean (Taean + Caribbean) Special,"Lee Yoon-suk, Yoo Chae-yeong"
116,2008-08-02,Get Up!x2 Please Come Early,
117,2008-08-16,Beijing 2008 Special #1,
118,2008-08-23,Beijing 2008 Special #2,
119,2008-08-30,Beijing 2008 Special #3,
120,2008-09-06,Badminton Challenge IC members receives a letter of challenge from newly crowned Olympic Badminton G,Lee Yong-dae & Lee Hyo-jung
121,2008-09-13,Chuseok Special 2008 - Desperate Housewives,
122,2008-09-20,Punishment Special - Sorry I Couldn't Protect You #1,
122,2008-09-20,Surprise Paparazzi,
123,2008-09-27,Be a PD for a day,
124,2008-10-04,Viewing of the PD Segments IC members gather to watch and critique the individual filmed segments do,
125,2008-10-11,The Great Design Challenge - Design Korea! #1,
126,2008-10-18,The Great Design Challenge - Design Korea! #2,
127,2008-10-25,Be my Manager for a Day #1,
128,2008-11-01,Be my Manager for a Day #2,
129,2008-11-08,The Aerobic Challenge #1 - Aerobics or Aerobic???,
130,2008-11-15,The Aerobic Challenge #2 - Training Hard,
131,2008-11-22,The Aerobic Challenge #3 - A Fun Day at the Beach???,
132,2008-11-29,The Aerobic Challenge #4,
133,2008-12-06,2009 Calendar Making #1,
